,created_at,billing_address,city,province,zip,customer,id,first_name,last_name,name,referring_site,current_total_price
0,2021-02-12 21:06:21,"{'city': 'South Kylemouth', 'province': 'Nevandaar', 'zip': '25179', 'name': 'Christina Payne'}",South Kylemouth,Nevandaar,25179,"{'id': 69, 'first_name': 'Christina', 'last_name': 'Payne'}",69,Christina,Payne,Christina Payne,https://www.whatever.com,60
1,2019-11-14 13:43:27,"{'city': 'Chadton', 'province': 'Gotham', 'zip': '21477', 'name': 'Lisa Nunez'}",Chadton,Gotham,21477,"{'id': 238, 'first_name': 'Lisa', 'last_name': 'Nunez'}",238,Lisa,Nunez,Lisa Nunez,https://www.jewels.com,7
2,2019-01-09 08:06:04,"{'city': 'Julieborough', 'province': 'Metropolis', 'zip': '25212', 'name': 'Judy Willis'}",Julieborough,Metropolis,25212,"{'id': 156, 'first_name': 'Judy', 'last_name': 'Willis'}",156,Judy,Willis,Judy Willis,https://www.whatever.com,88
3,2020-07-12 22:47:09,"{'city': 'Chadton', 'province': 'Gotham', 'zip': '21477', 'name': 'William Porter'}",Chadton,Gotham,21477,"{'id': 190, 'first_name': 'William', 'last_name': 'Porter'}",190,William,Porter,William Porter,https://www.facebook.com,37
4,2021-04-01 18:13:08,"{'city': 'South Kylemouth', 'province': 'Nevandaar', 'zip': '25179', 'name': 'Kim Smith'}",South Kylemouth,Nevandaar,25179,"{'id': 181, 'first_name': 'Kim', 'last_name': 'Smith'}",181,Kim,Smith,Kim Smith,https://www.merch.com,12
5,2018-12-16 01:21:34,"{'city': 'West Andrewmouth', 'province': 'Gotham', 'zip': '35147', 'name': 'Andrew Kim'}",West Andrewmouth,Gotham,35147,"{'id': 180, 'first_name': 'Andrew', 'last_name': 'Kim'}",180,Andrew,Kim,Andrew Kim,https://www.instagram.com,22
6,2019-08-28 09:55:36,"{'city': 'South Kylemouth', 'province': 'Nevandaar', 'zip': '25179', 'name': 'Jeffrey Welch'}",South Kylemouth,Nevandaar,25179,"{'id': 20, 'first_name': 'Jeffrey', 'last_name': 'Welch'}",20,Jeffrey,Welch,Jeffrey Welch,https://www.google.com,13
7,2021-09-02 21:03:22,"{'city': 'Lake Karenstad', 'province': 'Mordor', 'zip': '37642', 'name': 'Priscilla Gonzalez'}",Lake Karenstad,Mordor,37642,"{'id': 198, 'first_name': 'Priscilla', 'last_name': 'Gonzalez'}",198,Priscilla,Gonzalez,Priscilla Gonzalez,https://www.whatever.com,104
8,2021-09-05 07:26:07,"{'city': 'Leeside', 'province': 'Wales', 'zip': '66092', 'name': 'Andrew Poole'}",Leeside,Wales,66092,"{'id': 78, 'first_name': 'Andrew', 'last_name': 'Poole'}",78,Andrew,Poole,Andrew Poole,https://www.whatever.com,8
9,2019-05-31 15:56:44,"{'city': 'Lake Karenstad', 'province': 'Mordor', 'zip': '37642', 'name': 'Brooke Moore'}",Lake Karenstad,Mordor,37642,"{'id': 267, 'first_name': 'Brooke', 'last_name': 'Moore'}",267,Brooke,Moore,Brooke Moore,https://www.jewels.com,558
10,2020-06-27 07:42:23,"{'city': 'South Kylemouth', 'province': 'Nevandaar', 'zip': '25179', 'name': 'Christine Rush'}",South Kylemouth,Nevandaar,25179,"{'id': 298, 'first_name': 'Christine', 'last_name': 'Rush'}",298,Christine,Rush,Christine Rush,https://www.whatever.com,25
11,2021-03-10 21:40:00,"{'city': 'Mannfort', 'province': 'Bree', 'zip': '45583', 'name': 'Tamara Ward'}",Mannfort,Bree,45583,"{'id': 70, 'first_name': 'Tamara', 'last_name': 'Ward'}",70,Tamara,Ward,Tamara Ward,https://www.instagram.com,30
